link,path
tg://settings/appearance/themes,Chat List > Hamburger > Settings > General Settings > Theme
tg://settings/appearance/wallpapers,Chat List > Hamburger > Settings > General Settings > Chat Wallpaper
tg://settings/appearance/wallpapers/set,Chat List > Hamburger > Settings > General Settings > Chat Wallpaper > Set a color
tg://settings/appearance/wallpapers/choose-photo,Chat List > Hamburger > Settings > General Settings > Chat Wallpaper > Upload Wallpaper
tg://settings/appearance/night-mode,Chat List > Hamburger > Settings > General Settings > Night
tg://settings/appearance/auto-night-mode,Chat List > Hamburger > Settings > General Settings > System Default
tg://settings/appearance/text-size,Chat List > Hamburger > Settings > General Settings > Message Text Size
tg://settings/appearance/stickers-and-emoji,Chat List > Hamburger > Settings > Stickers and Emoji
tg://settings/appearance/stickers-and-emoji/emoji/suggest,Chat List > Hamburger > Settings > Stickers and Emoji > Suggest Animated Emoji
tg://settings/appearance/stickers-and-emoji/emoji/quick-reaction,Chat List > Hamburger > Settings > Stickers and Emoji > Quick Reaction
tg://settings/appearance/stickers-and-emoji/suggest-by-emoji,Chat List > Hamburger > Settings > Stickers and Emoji > Suggest Stickers by Emoji
tg://settings/appearance/stickers-and-emoji/large-emoji,Chat List > Hamburger > Settings > Stickers and Emoji > Large Emoji
tg://settings/appearance/stickers-and-emoji/dynamic-order,Chat List > Hamburger > Settings > Stickers and Emoji > Dynamic Pack Order
tg://settings/power-saving,Chat List > Hamburger > Settings > Power Saving Mode
tg://settings/power-saving/videos,Chat List > Hamburger > Settings > Power Saving Mode > Autoplay Videos
tg://settings/power-saving/gifs,Chat List > Hamburger > Settings > Power Saving Mode > Autoplay GIFs
tg://settings/power-saving/stickers,Chat List > Hamburger > Settings > Power Saving Mode > Sticker Animations
tg://settings/power-saving/effects,Chat List > Hamburger > Settings > Power Saving Mode > Interactive Effects
tg://settings/power-saving/transitions,Chat List > Hamburger > Settings > Power Saving Mode > Interface Animations
tg://settings/language,Chat List > Hamburger > Settings > Language
tg://settings/language/show-button,Chat List > Hamburger > Settings > Language > Show Translate Button
tg://settings/language/translate-chats,Chat List > Hamburger > Settings > Language > Translate Entire Chats
tg://settings/language/do-not-translate,Chat List > Hamburger > Settings > Language > Do Not Translate
tg://settings/premium,Chat List > Hamburger > Settings > Telegram Premium
tg://settings/ton,Chat List > Hamburger > Settings > My TON
tg://settings/stars,Chat List > Hamburger > Settings > My Stars
tg://settings/stars/gift,Chat List > Hamburger > Settings > My Stars > Gift Stars to Friends
tg://settings/send-gift,Chat List > Hamburger > Settings > Send a Gift
tg://settings/send-gift/self,Chat List > Hamburger > Settings > Send a Gift > Buy yourself a gift
